,BDL_DISCOUNT_FLG,BPA_INSOLVENCY_FLG,BPA_SERVICESEGMENT_ID,BPP_CON_PARTPAY_LST,CONTRACT_ACCOUNT_ID,CONTRACT_ID,CON_BUNCH_CNT,CON_INIRUNTIME_BON_SUM,CON_INITIAL_RUNTIME_TO_DT,CON_MOVEIN_DT,CON_MOVEOUT_DT,CRR_CREDITRATING_POINTS,DUN_CAC_PARAGRAPH315_FLG,ILO_CURRENTLY_LOCKED_FLG,MAC_CHURN_ARTICULATED_FLG,PRD_ALLOWED_FLG,PRD_DIVISION_DETAIL,PRD_NAME_BILLING,PRD_SUPPLYSTATUS,PRD_TYPE_ECO_FLG,PRODUCT_CD,RECORD_MODE,SOURCE_SYS_ID,Status,id
0,N,N,12,96,,1,0,0,16.04.2019,16.04.2017,31.12.9999,0,N,N,N,Y,Strom,KlassikStrom,Sondervertrag,N,KlassikStrom,-1,2,Update,1
1,N,N,12,65,,2,0,0,16.05.2020,16.10.2018,31.12.9999,0,N,N,N,Y,Strom,KlassikStrom,Sondervertrag,N,KlassikStrom,-1,2,Update,2
2,N,N,12,46,,400000004,0,175,14.06.2019,14.06.2017,31.12.9999,0,N,N,N,Y,Strom,KlassikStrom,Sondervertrag,N,KlassikStrom,-1,2,Update,400000004
3,N,N,12,102,,400000023,0,295,18.05.2019,18.05.2017,31.12.9999,0,N,N,N,Y,Strom,KlassikStrom,Sondervertrag,N,KlassikStrom,-1,2,Update,400000023
4,N,N,12,37,,400000026,0,306,24.03.2019,24.03.2017,31.12.9999,0,N,N,N,Y,Strom,KlassikStrom,Sondervertrag,N,KlassikStrom,-1,2,Update,400000026
5,N,N,12,1,,400000037,0,248,24.04.2019,24.04.2018,31.12.9999,0,N,N,N,Y,Strom,FixStrom,Sondervertrag,N,FixStrom,-1,2,Update,400000037
6,N,N,12,62,,400000038,0,185,24.04.2019,24.04.2018,31.12.9999,0,N,N,N,Y,Strom,FixStrom,Sondervertrag,N,FixStrom,-1,2,Update,400000038
7,N,N,12,24,,400000039,0,64,24.04.2019,24.04.2018,31.12.9999,0,N,N,N,Y,Erdgas,FixErdgas,Sondervertrag,N,,-1,2,Update,400000039
8,N,N,12,106,,400000046,0,400,26.04.2019,26.04.2018,31.12.9999,0,N,N,N,Y,Strom,FixStrom,Sondervertrag,N,FixStrom,-1,2,Update,400000046
9,N,N,12,89,,400000051,0,274,28.04.2019,28.04.2018,31.12.9999,0,N,N,N,Y,Strom,FixStrom,Sondervertrag,N,FixStrom,-1,2,Update,400000051
10,N,N,12,102,,400000052,0,324,30.04.2019,30.04.2018,31.12.9999,0,N,N,N,Y,Strom,FixStrom,Sondervertrag,N,FixStrom,-1,2,Update,400000052
11,N,N,12,114,,400000053,0,342,29.04.2019,29.04.2018,31.12.9999,0,N,N,N,Y,Strom,FixStrom,Sondervertrag,N,FixStrom,-1,2,Update,400000053
12,N,N,12,57,,400000054,0,150,30.04.2019,30.04.2018,31.12.9999,0,N,N,N,Y,Strom,FixStrom,Sondervertrag,N,FixStrom,-1,2,Update,400000054
13,N,N,12,98,,400000055,0,324,27.08.2018,27.08.2017,31.12.9999,0,N,N,N,Y,Strom,FixStrom,Sondervertrag,N,FixStrom,-1,2,Update,400000055
14,N,N,12,49,,400000056,0,142,01.05.2019,01.05.2018,31.12.9999,0,N,N,N,Y,Strom,FixStrom,Sondervertrag,N,FixStrom,-1,2,Update,400000056
15,N,N,12,78,,400000058,0,306,01.05.2019,01.05.2018,31.12.9999,0,N,N,N,Y,Strom,FixStrom,Sondervertrag,N,FixStrom,-1,2,Update,400000058
16,N,N,12,44,,400000059,0,132,29.04.2019,29.04.2018,31.12.9999,0,N,N,N,Y,Strom,FixStrom,Sondervertrag,N,FixStrom,-1,2,Update,400000059
